id,label,sentiment
76,   alas no: is a ;buy the mp3s; set-up. ,0
77,   haha nope. i guess nothing is original these days ,0
78,karaoke with xt on wed and drum lessons on thursday!!! what a week... i'll work somewhere in there ,1
79,eating ice-cream with chocolate topping ,1
80,   why are you depressed?  ,0
81,i'm off to salsa dancing lessons!!!  i love it!!!  ,1
82,i  just made the most amazing banana bread ,1
83,   you're no fun...i want to know what you're working on! ,1
84,oh man...was ironing    fave top to wear to a meeting. burnt it ,0
85,   jesus camp? yeah... ,0
86,   best of luck to you dr and your new rockstar sisters.  i know some women that are into mlm. i'll tell them about you. ,1
87,   no it's not. flim is the jafaking version of film but it has extra ladies so the l goes first ,1
88,"   perhaps, but way more than /th of my twitter population  birds of a feather...",1
89,   i saw u were on and i just wanted to say hi! u r an amazin person + an inspiration.thank you so much! i hope i can meet u  day ,1
90,"put vacation photos online a few yrs ago. pc crashed, and now i forget the name of the site. ",0
91,foot is out of commission  ouch! running this morning did not help...not smart.,0
92,   add this    to your indomitablility and you'llbe the perfect man ,1
93,   i tried.....and failed ,0
94,"   this is strange, illegal torrents avlbl everywhere, legal dvd not in stock  what do i do now???",0
95,   hope the highway is a smooth one! ,1
96,   ill tell ya the story later  not a good day and ill be workin for like three more hours...,0
97,   sooo sunny! typical that the weather gets nice just as my holidays finish ,0
98,   hey you. ran into christine &amp; george v.  an alumni event friday. we were talkin' aboutcha. heard some good news ,1
99,not long until our site goes on line  4 more hours to go ,1
100,matching patty necklaces! now all that we need are our jeffsladefrickinugh bracelets ,1
101,"   get em gilly!!!! see yall in a minute!!! they closed freakin labrea at fountain, and im not movin ",0
102,"   goodness me, how did you find me?? it's good to hear from you ben! i still have your video game and book...i apologize ",0
103,   don't trip my tweezey for sheezey... i gotchu ,1
104,   good luck to you ,1
105,   we don't have tix just going to attend festivities ,1
106,injected with office coffee ,1
107,this rain sucks.  &amp; i'm sick,0
108,   so apart from the sore... how was the tryouts? ,1
109,wanttss to go out ,0
110,   no free comp lol ,0
111,   haha and then id just tackle him ,1
112,tomorrow is my friday!  +it's a late day for me. thank goodness. ,1
113,   wake up with ah jon tweet. the best start for my day  thx jon love you,1
114,   so what did you have for lunch then? ... the waiting to find out is killing me !!! ,1
115,at work - listening to punk rock &amp; about to eat face cake - life is a mad lil drug ,1
116,feelin' good this morning ,1
117,   itc latest changes to the network made me crazy yesterday ! but now it seems to work ok ,1
118,"since posting the  new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5, views alone. ",1
119,"awake....hopin my big brother gots time 4 me day, just a lil bit atleast. yay but katelyn might come up to hang with me ",1
120,"   if the plane is going down, the velocity is too high to jump out. the drag would kill you. so parachutes are no help. ",1
121,   watching mortal thoughts (99) on lifetime ,1
122,   foarte tari tweet-urile. mereu am apreciat umorul ,1
123,   but i cant figure out how to get there / back / pay for a hotel etc ,0
124,on a -day work-week..fast-forward to thursday please ,0
125,horrible sore throat  hurts,0
126,"snow mounted up to a couple of inches overnight, very pretty but i hope i don't lose my peaches, tree was in bloom ",0
127,   i agree with you!..    doesnt love us as much as    does  ? cuz he comes and visit us at fanclub chat!,1
128,trying to work today. kaitlyn still bleh. her word ,1
129,loves the german bakeries in sydney. together with my imported honey it feels like home ,1
130,"   i can help with david lloyd, if you need help convincing ",1
131,"   hey, you remember that time we used to be friends?? ;)  ugh. vomit. sick.  i need sleep ",0
132,man... taxes suck.  i'm horrified that i did something wrong on them.  turbotax decided to keep around a lot of the stuff i turned off.  ,0
133,wednesday my b-day n don't know what  do!  ,0
134,"my co-workers are my guinea pigs. lucky for them, i'm testing recipes from my ultimate cookie cook book. ",1
135,"   sigh, wish i could have a gmic meeting here in san diego! spoke to johanna already, she said it was great... ",1
136,   wooo yeah! sorry to hear you missed out on origin tickets ,0
137,   dang! i would have done this if i knew it was there earlier.  any other outings planned?,0
138,listening to justin timberlakee when i should be doing a test.   whoops  lol,1
139,"   g'night, youngster. rest well. ",1
140,"   i think that's a good idea, i had to, it was a very expensive ear infection  i wanted to die! i hope you get better soon.",0
141,white trash vs us... we were outnumbered.    ,0
142,tried to get up earlier today........didn't work out ,0
143,      _skwerl aww how depressing! ,0
144,   kay thanks. ,1
145,   unlike my sister...i still don't have one ,0
146,   its okay ive done it once didnt but wooo stayed up longer then expected lol ,1
147,"   haha, i have not told him yet. ",1
148,"   everyone is gone,cause they hate me. ",0
149,   it was gloomy for one day half the day.. then it was sunny ,1
150,yeahh baby!    ,1
151,not looking forward to sunday. would rather be doing something else. but i am now obligated. ,0
152,   just use tweetdeck and you can update facebook and twitter at the same time ,1
153,"what an awesome day   boy am i grateful &amp; blessed, and i know it.",1
154,   lol the conbrainer store thats cute ,1
155,   awww i soo wish i was there to see you finally comfortable! im sad that i missed it ,0
156,"   wow, that's a very nice name, doug! huhuhu. but i still prefer dougie ",1
157,   ahhh sound advice. ,1
158,   hey! smile ,1
159,"argh! i was suuuper sleepy an hour ago, now i'm wide awake.  hope i don't stay up all night. :-/",0
160,"  - cant see the flowers falling  i dont have a camera, just my cellphone",0
161,   thank you! am at home pretty much everywhere. provided i have broadband ...kiddin' ,1
162,"i should be sleeping, i have a stressed out week coming to me. ",0
163,   welcomes new employee josie! too cute!   and she slept through the night last night  good girl.,1
164,going to bed little early today.... whole half hour early... lol ,1
165,   how have you been susan ,1
166,"   lucky you, i have to go back to school on monday ",0
167,   the suit doesn't make the man. ,1
168,   oh! that's cool. the mug came out well. good job. ,1
169,   did you see donnie's tweet stats? almost 7  replies...and no jrk ,0
170,limp bizkit just came on ipod player-atmosphere not so tranquil but i do enjoy a bit of 'rollin'' ,1
171,   if you're talking chapel street then try borscht vodka &amp; tears on corner of chapel and high st or globe at  chapel st ,1
172,good morning!!!!.....rainy day..  no climbing today...,0
173,    this computer doesn't have shockwave...blah  no a    ount yet,0
174,centrelink wasnt as bad as i thought it was going to be !!!! ,1
175,moving in my new place today ,1
176,   so's the real common these days... ,1
177,   i also send some updates in plurk but i upload photos on twitter!  you didnt see any of my updates on plurk? zero? ,1
178,"   i know, sometimes a break from technology is needed. there's so much more to do! enjoy it ",1
179,    so... could you spoiler me? ,1
180,   e. only when my pain subsides enough for me to hurt myself and do it ,1
181,"ok, that was good. totally grooves with a lot of the mythos in the original. ;there are those who believe life here began out there...; ",1
182,"is feeling a little cold, but very very happy about being back home again ",1
183,"   also, do you own any designer clothes? ",1
184,"   i did get some disgruntled people when i wrote my esn, but the  hits in one day made up for it. bill pulls in 5 tops ",0
185,"   yo mate it is working! like a charm, be prepared to tweet my feed! some interesting people to follow too if you can find them ",1
186,wish i had all the xblm downloads all on the gamertag 'hitokyri'. this 5 gamertag thing is nonsense... and i'm tired of it ,0
187,st ride done and followed pugmarks but sadly he did leave any trails later  also found fresh pugmarks of berda cubs thats a good sig ...,0
188,   even i can't run that far! yet! ,1
189,i must be getting old - i'm getting better at buying baby shower/baby gifts  i used to panic &amp; ask moms for advice.,1
190,   thanks for the tip on sam's club! ,1
191,"night, tweeties...see y'all tomorrow!  ",1
192,   text me back then. don't be made at me stink  please,0
193,just installed twitterberry on my blackberry bold ,1
194,   hasnt happened yet. trust me. you'd know if they had! i'd be screaming still from the excitement of it all ,1
195,"    yes, someone hasn't been reading my posts properly  ",0
196,"   yes yes!  btw, when r u at the airport on friday? my plane's like at 5:",1
197,mannnn i gern out man lol i cnt take being ganged up on ,0
198,excited to watch gossip girl later! ,1
199,just saw a rabbit hopping through central square.  felt bad for it.  ,0
200,   you could always walk - it looks like a lovely day out there ,1
201,   im ok i guess had a hard day ,0
202,"      sparrow are you sleeping in or something, im missing our friendly twitter banter  u we're so right about f&amp;furious it was fknfantastk",0
203,blegghhhh i have to go to work ,0
204,"   hi there, cel.  how are you doing today?",1
205,"   sorry, babe!!  my fam annoys me too. thankfully, they're asleep right now. muahaha. *evil laugh*",0
206,"   ha...lol..i will try, morning to you~ taking my mother shopping today, cause i am good girl ",1
207,   if more than one lady agrees to attend with with you then i am fine with it! ,1
208,"   firstly, thank you  secondly, is the kite runner historically off?",1
209,a friend feels like a beer on a monday night. that's never good. but beer is always good. always. ,1
210,"   lol! that's ok. yeah, we did.  he's looking forward to thursday since we're going around for visita iglesia. 4 churches!",1
211,   thought you were a mac ,1
212,   well i just like to help.. guys who seem perfect are usually the ones with the most to hide.... and hey i am here anytime ,1
213,"   cream for his eye and he may have herpes - not ocular herpes, but a different strain.    he's doing okay though.",0
214,"just gott homeee, sawww the haunting off conetticuttt. haha scaryyy!  going to florida on thursdayyy! &lt;3",1
215,   nah. it has not came out yet. i do not think it is this weekend either.  ima mega sad. ,0
216,is coldd ,0
217,another day at centre point - this time an early start so guessing train will be rammed with commuters ,0
218,   my english professor would be ashamed. ,0
219,so happy at home. watching the 3rd x-men w/ryan and champagne. &lt;3 lexie didn't want to watch the last one. ,0
220,   *gives a hug and a cookie* hope you feel better! ,1
221,   not there yet. and i beleive so  red carpet sighting i hope.,1
222,the cheap atp tickets sold out before i had a chance to get rich... ,0
223,   it's also amusing how many people who did complain about bush's spending are suddenly supportive of obama's!  #tlot,1
224,"   haha. yeah, they were that band from mmc! i used to have a cd, but i lost it. ",0
225,had a good time at eat n park drinking a latte and playing munchkin impossible with    ,1
226,updatingffe.  that gives me nothing to do for a good twenty minutes!,0
227,sitting on the couch .. thinking how much i have to study... and thinking in a cup of coffe lol ,1
228,good morning.. going to take a shower ,1
229,just had a lovely lunch with the girls. ,1
230,"   congrats on the rebrand, i don't see how you have time for all the stuff you're doing this year ",1
231,   our fingers are crossed too. quite a relief to know he feels better.  hoping your work is coming along fine too.,1
232,tumblr: this is exactly how it feels wearing a �tie�    ,0
233,blarg i hate waking up and my whole body  aches  too bad thats more or less every morning.,0
234,   what a pity youtube is currently blocked in china.  i can't see the vids. ,0
235,   you are just a tumbling fool. love it. ,1
236,still had tooth ache ,0
237,my pinky toe has been broken for months. i should be concerned :| ,1
238,my #art is regressing... ,0
239,"friend just asked me to be his best man. guess that means a trip to twin falls, id next year  what are the responsibilities of a best man?",1
240,"i am home missing my baby  busy week ahead fri is a chill day with my guy and kids, egg hunt sat, spiral and dmb sat night and easter!",0
241,wait should i eat?? or be skinny for vegas!! i'm hungry! ,0
242,   i bet that smarted a bit ,0
243,   if you make samosas regularly ,1
244,currently obsessed with john mayer's rendition of free fallin'   ,1
245,   i know i know! it made my day. im so happy! wow really? yeah ill talk to mum about it later and get bak to you  xx,1
246,"   : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night",1
247,i so hate homeworks -.- my head hurts so bad ,0
248,is watching mobile suit gundam  s episode 3    ,1
249,   awesome!!! see you there!! ,1
250,thinks she found a good group to help her refocus ,1
251,is doing tandem with marina...spanish-german ,1
252,brb going to ireland ,1
253,working till .   it looks like we are going to have more rain and gray skies.  wish i could get back in bed,0
254,"   lmao! thanks lee xd, would u like to join in our craziness as well lolol  rofl come &amp; join we don't bite.. not hard anyway! ;)",1
255,   ok la.   at least    is following me. jadilah,0
256,ive told her she either stops painting or i refuse to sleep in my room and she wont stop painting ,0
257,   ouch - sounds very sucky ,0
258,"last night i started scottish country dancing lessons with my boyfriend! talk about in-the-deep-end! was a real giggle, &amp; great exercise ",1
259,   whats gooooood ,1
260,they killed off a character on one of my favorite shows and now i'm upset ,0
261,"is excited that sonar has been deployed in another fortune 5 company, this time a global financial powerhouse.... ",1
262,   oh its real jon!  we all r so excited that u and the guys came back 4 us.  we appreciate all you put out there!  ,1
263,   i know -  was a little depressed that we ate so much last night there were no leftovers today ,0
264,"sitting all alone in my empty dorm room. goring home tomorrow!! so excited, but gonna miss everyone ",0
265,   sorry to hear that  hope you get well soon!,0
266,   omg you are the best mom...your girls are blessed ,1
267,   jenny knows i love er. ,1
268,im boredd. gah  i wish i could just sleep and get it over with but ive had toooo muchh cooooffffeeeeeeeee  bahaha,0
269,"   i heard timewarp was fantastic! gutted i missed it, was playing  egg ",0
270,     - you should have seen dinner ,1
271,"   aww nick!! i like your hair longer, why did you cut it off?  break. my. heart.",0
272,i feel so free  watching friends my favorite show!,1
273,   or are you a mac?  then you could do anything! ,1
274,   i'm excited about the books you received too! ,1
275,headed off to wal*mart for more boxes. uber excited ,1
276,   did the heroics ever go through! if not sorry! ,0
277,"    intelligent ofcourse, trying to escape a losing argument - sardar got angry  #indiavotes9",1
278,sliced my finger ,0
279,   hahaha no he does props for heroes ,1
280,going to sound vain... but running out of my fav lip gloss ,0
281,   i've just seen your flickr and i've fallen in love!!! just wonderful!!! awesome... !!! ,1
282,   hey missed ya at the meeting  sup mama,0
283,is watching hannah montana.    ,1
284,"   by jordan, i think he's got it!  ",1
285,    honey goodnight i am up really early in the morning busy day will catch up with you later tomorrow ,1
286,   kewl...challenging means there's something progressing ,1
287,went to calgary with some of the lads (gaspar had to sit in the boot  ) to watch the flames versus la kings. calgary won 4-. nice night.,1
288,   wha'ever. i'll plug it into my phone. and see you on the 5th!! ,1
289,i think my arms are sore from tennis ,0
290,i'm very very hungry! don't anyone on my timeline dare to talk about food : or i'll seriously eat you up! ,1
291,can't wait til friday! ,1
292,   are you mad at me? ,0
293,   hahaha. ) i'm taking hrim.  so i think it's only basic math. ,1
294,   hey cici sweetheart! just wanted to let u know i luv u! oh! and will the mixtape drop soon? fantasy ride may 5th!!!!  ,1
295,   you're welcome.  thanks for following!,1
296,sadly is going to bed. ,0
297,   is very bored in work ,0
298,"   at least i won't be the only one feeling lost! this may cause me many later than usual nights, already addicting ",1
299,i am up at  in the morning when i could have slept in ,0
300,   i'm sure you're right...    i need to start working out with you and the nikster... or jared at least!,0
301,   thank you ,1
302,   i am!!!!!!!!!!!!  i may have bombed the last contest but boy is life coming gether now!  i have my  goals tis why... ,1
303,"   heh, thanks for advertising my skills ",1
304,i'm sad... 'cause doesn't reply me yet...   ,0
305,thinking about all the work that will need to be done this weekend ,0
306,   aw dont you love that  i love for those days! thanks about the pic ;-p,1
307,   did you try looking in your junk mail? pls dm me your email so i can check it out for you ,1
308,   thanks. congrat's on your team's win today ,1
309,trust is hard ,0
310,still in bed and don�t want to do anything else. university is callung too loud ,0
311,   ah! i bet it does i've been like craving to play softball or basketball !!! but i have noo time ,0
312,   sorry it wasn't wrath of khan.  but we made do. ,1
313,"had a blast at the getty villa, but hates that she's had a sore throat all day. it's just getting worse too ",0
314,"haven't tweeted nearly all day  posted my website tonight, hopefully that goes well  night time!",1
315,lol becky i'm glad this amuses you ,1
316,"ok so the twilight book is pretty addicting, chapter 6, now its time for some sleep.. good night tweeps ",1
317,   you think ? i'm so shy :p i know exactly what to wrote but i'm doing to much mistake with the words ,0
318,morning people  ,1
319,it's our final revisit day at proctor with 44 families visiting campus;  families total! the sun is shining inside today ,1
320,   it's overrated ,0
321,"joey dacillo, go online. ",0
322,im sad now  miss.lilly,0
323,job searching.....fyi: yahoo hot jobs suck! .. im never going to find a job ,0
324,   solomon was supposed to be wise - but 3 wives - i'm thinking not ,1
325,   i'm getting old 3: i talk a lot about thinking. and think a lot about getting old. ,1
326,    very cool! second timrs the charm. looking forward to results ,1
327,   please hurry up with that ,1
328,i *might* have a chance to attend bea this year with a friend!! so excited ,1
329,   what happened to your show it was the hightlight of my life ,0
330,morning all - st appointment of the day - the dentist ! ,0
331,ha wow my phone makes ;) instead of  it prob just hates me too,0
332,   hahah not yet! but soon. very soon ,1
333,   you are too ,1
334,"at first i thought this was a crazy bendmeover email, nope just spam    ",0
335,   good morning ,1
336,   i hate when that happens... ,0
337,looks like i've missed out on yet another job  someone please employ me! haha,0
338,crazy wind today = no birding    ,0
339,"   would i strive for anything but perfection? come on, i thought you knew me better than that. ",1
340,   sorry ,0
341,shiner is taking up all my bed and blankets! ,0
342,trying to figure out this twitter thing...none of my friends are on  yet. soo much to see.,0
343,listening to then by brad paisley! ,1
344,   ah it was pretty good boo tank you  how was your night,1
345,   insulting? did *you* invent it? now i know what to get you for your birthday:   ,1
346,state testing no phones allowed t ,1
347,   i made it in time. just giving you a hard time ,1
348,"as you climb the ladder of su    ess, be sure it's leaning against the right building ",1
349,   you're welcome dearie!  voted already! goodluck!,1
350,"going to livy's party later ..... really freaking tired, my alergies were extremely bad last night and i couldnt sleep ",0
351,i want my haaair to grow back. ,0
352,"he feels what i have felt right now, can't sleep and need attention from somebody ",1
353,   hmmm think we need to get you climbing up hills .. you'll be really sining then ,1
354,   it can only happen to you. ,1
355,"it's been a while since i have watched the cosby show, i forgot how funny it was  but can't sleep though grrrrr",1
356,"wants her step brother home  im so worried, you dont even know. i hope he knows how much i care for him...",0
357,just lost $6 ,0
358,   *huggs* back...but i think you are the most hugged man on twitter! ,1
359,city all day soo happy to be home. school in the morning ,1
360,good nite everbody i had a long day and did a project now it is finally time to get some rest peace ,1
361,"   i hate the limited letters,too.hope you and the guys are fine?i pray for my dog,she�s not well ",0
362,homework.... ,0
363,fed bokkie too many birthday treats-sicko ,0
364,   aw i'm fine too thanks! yeah i miss you so much on the mfc  but hope we can talk later on today  kisses :huglove:,0
365,   i blame add... too many things happening for me to focus on catching you haha... ooh look something shiny ,1
366,   7 pounds is an awesome film ,1
367,is stressing out because my blackberry keeps flashing a red alert status for no reason!! its faking me out and i hate it!!! ,0
368,i thought you would support me on this ,0
369,   i wish i was as cool as you.. ,1
370,   today was rad. we made it into the finals for cross country yay. love you sophie &lt;3 (l) ps everythins cool with my mates ,1
371,"im lonely  keep me company!  female, pittsburgh - pennsylvania",0
372,   holy laundry woman! ,1
373,wants to cry ,0
374,   yep i saw him in february and i get to see    on may th. looking forward to seeing him again ,1
375,"   hey, it's actually afternoon here  how are things?",1
376,good night and good day twitters! ,1
377,i have no voice  argh!,0
378,   *flicks hair* i prefer to be called a ;twenius; ,1
379,   hurry up and be the first person to publish a book of twitters! ,1
380,i love my atekinzz so much. &amp;&amp; i soo miss her.. ,0
381,"   when i get closer to finalized plans, i am going to pick your brain. ",1
382,   that is great to hear!! thanks chip! ,1
383,time to move my posterior  and lose some fat. my articulation are creaking so no more running  but i�m drool for some swimming,0
384,   it's sad it's the last season.  i wanna see when spencer calls lauren!,0
385,spring break in plain city... it's snowing ,0
386,"   totally know what u mean!this late night stuff has been  my detriment 4 years,lol;society is discriminatory toward night ppl ",1
387,   i have this terrible feeling in a couple of weeks when i do the interviews that someone is going to mention fishnets ,1
388,is missing talking to my bff on da phone!!!! ,0
389,   you have an iphone vest - that's all you need to be cool ,1
390,"so sad christopher  maybe, we see us in berlin or something!",0
391,"bedtime, school tomorrow, and i still have no books  being broke suckssss",0
392,waiting for chris to make my dream come true &amp; give away day 6 tickets ,1
393,of course he makes me feel better ,1
394,   niiiceee ,1
395,"hmmh, boredd! tomorrow should be good  xx",1
396,oh oh found some clothes!!  and i love em xd,1
397,watching keith olbermann(late late rerun) then it's on to the daily show which is having michael j. fox on as guest. my high school crush ,1
398,   hey jon! it's real and i hope you take care of yourself...we don't want you to get too rundown.  ((hugs)),1
399,"   aww poor froofroo, this is way too late for you ",0
400,this breaks my heart navy seal marcus luttrell's doggy    i am filled with rage.,0
401,   lost  and it was st. ignacius prepatory school. haha.,0
402,maybe if i jus listen to hawaiian music everyday my life will be more relaxing haha no? (via    for me ,1
403,"stuck without a ride  taking the bus home from work, without an ipod...",0
404,   i see you! yes let's chat at break/lunch ,1
405,michael crichton ,0
406,"just wrote on a toilet wall... but only to correct poor spelling. and in highlighter, so it will wash off. hardcore ",1
407,aaaaand the nausea is back. ,0
408,"ah okay, consensus is this is a tame start. thing is, the second half of this tournament just could get duller  #ipl",0
409,   i'm stressed outttt ,0
410,   awww pookie feel better. i'll pray for you...and bag the nurse up ,1
411,   i miss bentley ,0
412,"   wow, me too! ",0
413,   lmao. i agree. ,1
414,   pretty much just scary for me ,0
415,"packing my overnight bag for tomorrow, going to the hospital ",0
416,"   hahaha! well if they ever run out of ideas, i'm nominating you to come up with some good ones. ",1
417,"   yes, it will be. it's only monday ",0
418,   you make me smile ,1
419,only one day left  -.-    i hate school,0
420,t    tools of the road warrior   pretty cool - please retweet ,1
421,"   i take it you're downtown  if you're on north michigan avenue, the lush inside of macy's is right across street from borders",1
422,   type it on the blog post and print it ,1
423,"  - i love you, buck. ",0
424,oh my gosh... oh my gosh...susy is going to kill me with her remedy. ,0
425,   hey golden is here with me and just wanted to say hi and have a great morning ,1
426,   yo where my money?????? im tired of u being out n not bringn home the bacon! lol......i miss u man ,0
427,just picked up some oats from the market to eat for breakfast with my boy    now time to do work at usc... late night ,0
428,   treaty isn't defined ,0
429,   thx stu will do! ,1
430,finally back on twitter ,1
431,"   i just wasted  hours, when all i needed was that null  thanks heaps - it works perfectly now.",1
432,   thanks for the encouragement! ,1
433,"   go on, mary's listening ",1
434,   i don't like that they only had him in the first movie  cillian murphy is hot ,0
435,oh i thought the pirate bay trial verdict was today :-s apparently it's in  days ,0
436,someones alarm clock or a phone woke me up at 3am...still got my headache from yesterday night ,0
437,"i want to invite my parents to my home,but my wife don't agree with me  ",0
438,   i cant find it! it says dtmafiaofficial doesnt exist!there's jus  dtmafia i found n u dun seem to b followin it  wht to do?,0
439,cant believe i have to go all the way to barnes for work today....instead of a 5minute walk to st johns wood ,0
440, now i'm happy ,1
441,missed brent at praise band.  no fun to not have your lead guitarist. &lt;pout&gt;,0
442,goodmorning it sucks having a cold when its 7 degrees outside ,0
443,car show season has started without me ,0
444,   that's one royal mirage i think i could skip ,1
445,    i was just thinking about you tonight!  you have to let me be the first to interview you're a famous super star ,1
446,goodmorning! ,1
447,   i keep forgetting you are in a different time zone than normal! i see your 'tweets' about the morning when it's :45pm here! ,1
448,   i hope that scentsational doesn't get dissed ,1
449,new testament test at 9:3 am   ,0
450,   i know! i was really surprised since everyone recommends them on youtube.  i have to call them tomorrow and figure it all out.,0
451,   i will miss you on the show... you were awesome!  what a shock!!  ,0
452,"detroit pistons ;road kill for cleveland,; and they know it.    (via   ",0
453,where did the sun go? ,0
454,missing my bff  watching home and away it reminds me of her and me  we &lt;3 it. shout out to u courts,0
455,"im getting nervous that this trip tomorrow may be a little boring. haha oh well, i always have my trusty ipod and my books of course  lol",1
456,"[video] yes, me let loose on twitter again...     ",1
457,snow day today! ,1
458,working on a film. have been busy. have a nice day everyone ,1
459,talking to designers...i can't squeeze any design juice from my brain...for my personal website. ,0
460,good day tweeps! have a great day ,1
461,will invite people to twitter. ,1
462,just watched tropic thunder. dreading tomorrow ,0
463,just leaving the parking lot of work! ,0
464,"i just can't spell today, i totally suck ",0
465,just got back after an rough roadtrip to amsterdam on the motorcycle. had an excellent time there ,1
466, therealjaymills - i wish there were more indie stores out there to support.  joints is jive scarce these days.  ,0
467,dang. heroes and the hills amazed me tonight!  off to do more studying!,1
468,day 6 and i'm feeling pretty good   i think it's time to do some spring cleaning though - everything smells like smoke. . .,1
469,   i am so sorry to hear that!  take care!,0
470,    why not? :[,0
471,no phantasy star yesterday  going to work...,0
472,having a long conversation with mom on phone ,1
473,wow.... the shout box has kicked me out and i can't get back in. i guess this means good night ,0
474,why do i keep looking...i know that what i read is gonna hurt but i still look! i guess it's just a girl thing &amp; i need to get over him. ,0
